'El Burro' Van Rankin, Jorge|"Inocente de ti" (2004) {Inocente de ti (#1.1)}  (as Jorge Van Rankin)  [Pepe Toño]  
'El Burro' Van Rankin, Jorge|"Juro que te amo" (2008) {Juro que te amo (#1.1)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"La jaula" (2003/II) {Los Big Tacos}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"La mujer del Vendaval" 
'El Burro' Van Rankin, Jorge|"La mujer del Vendaval" 
'El Burro' Van Rankin, Jorge|"La mujer del Vendaval" 
'El Burro' Van Rankin, Jorge|"La mujer del Vendaval" 
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(#5.21)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2012-08-20)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2013-04-29)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2013-06-17)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2013-07-01)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2013-08-12)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2014-04-07)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2014-09-08)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2015-09-07)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Miembros al aire" (2009) {(2015-10-19)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"No manches" (2004) {(2004-07-01)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Noches Con Platanito" (2013) {Cuauhtémoc Blanco/Pilar Montenegro/Los Huracanes del Norte (#1.33)}  (as Jorge Van Rankin)  [Himself - Guest]  
'El Burro' Van Rankin, Jorge|"Quien los viera" (2006)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Salomé" (2001) {(#1.2)}  (as Jorge 'Burro' Van Rankin)  
'El Burro' Van Rankin, Jorge|"Salomé" 
'El Burro' Van Rankin, Jorge|"Serafín" (1999)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Serafín" (1999) {(#1.1)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Serafín" (1999) {(#1.2)}  
'El Burro' Van Rankin, Jorge|"Serafín" (1999) {(#1.3)}  
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Sueño de amor" 
'El Burro' Van Rankin, Jorge|"Super Minds" (2005)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Todo incluido" (2013)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Una familia con suerte" (2011) {(#1.1)}  (as Jorge Van Rankin)  [Nico]  
'El Burro' Van Rankin, Jorge|"Una familia con suerte" (2011) {(#1.2)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Una familia con suerte" (2011) {(#1.3)}  (as Jorge Van Rankin)  [Nico]  
'El Burro' Van Rankin, Jorge|"Vas o no vas con Boletazo" (2004) {(#1.1)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"¡A que no puedes!" (2007)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Análisis estratégicos (#1.2)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Cambio de roles (#1.1)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El día del niño (#1.13)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El día del padre (#1.20)}  (as Jorge Van Rankin)  [Mike Well]  
